zone_id,zone_num_wells,zone_center_latitude,zone_center_longitude,zone_area_km2,zone_average_gradient,zone_average_bht,Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km),Interpolated gradient,BHT,Suitable for 
25,5,31.509215927124025,-101.77751617431642,0.36931288359035064,22.792044089289266,79.5093112812418,SHERROD UNIT 1816,4246136442,UPTON,Plugged & Abandoned,BLACK OIL,31.51222610473633,-101.7824401855469,8690.0,2.649,22.78307512580067,80.35236600824598,Suitable for heat generation
25,5,31.509215927124025,-101.77751617431642,0.36931288359035064,22.792044089289266,79.5093112812418,SHERROD UNIT 2324,4246136582,UPTON,Plugged & Abandoned,BLACK OIL,31.50743293762207,-101.7787551879883,8680.0,2.646,22.76942114789561,80.24788835733179,Suitable for heat generation
25,5,31.509215927124025,-101.77751617431642,0.36931288359035064,22.792044089289266,79.5093112812418,SHERROD UNIT 2316,4246136577,UPTON,Plugged & Abandoned,BLACK OIL,31.50872039794922,-101.7813491821289,8690.0,2.649,22.76230471063172,80.29734517846343,Suitable for heat generation
26,5,31.232184982299806,-101.78935852050782,0.2588370513571542,22.29614914226692,89.59431035175031,"UNIV ""3-32"" 1",4246131586,UPTON,Plugged & Abandoned,BLACK OIL,31.22919464111328,-101.7927932739258,7850.0,2.393,22.30098082186303,73.36624710671822,Suitable for heat generation
26,5,31.232184982299806,-101.78935852050782,0.2588370513571542,22.29614914226692,89.59431035175031,FLATHEAD 1,4246133147,UPTON,Plugged & Abandoned,CONDENSATE,31.2297248840332,-101.7927780151367,10740.0,3.274,22.30097840717643,93.01340330509564,Suitable for heat generation
26,5,31.232184982299806,-101.78935852050782,0.2588370513571542,22.29614914226692,89.59431035175031,"UNIVERSITY ""AQ"" 3",4246103773,UPTON,Plugged & Abandoned,CONDENSATE,31.23642539978028,-101.7884979248047,11086.0,3.379,22.29506718888293,95.33503203123541,Suitable for heat generation
26,5,31.232184982299806,-101.78935852050782,0.2588370513571542,22.29614914226692,89.59431035175031,"UNIVERSITY ""AQ"" 1",4246104030,UPTON,Plugged & Abandoned,WET GAS,31.2328052520752,-101.7885284423828,10751.0,3.277,22.2949776947789,93.06064190579046,Suitable for heat generation
26,5,31.232184982299806,-101.78935852050782,0.2588370513571542,22.29614914226692,89.59431035175031,"UNIVERSITY ""AQ"" 2",4246103772,UPTON,Plugged & Abandoned,WET GAS,31.23277473449707,-101.7841949462891,10774.0,3.284,22.28874159863333,93.19622740991186,Suitable for heat generation
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"UNIVERSITY ""3-7"" 1",4246132520,UPTON,Plugged & Abandoned,BLACK OIL,31.28777313232422,-101.7880706787109,7581.0,2.311,22.29051016378797,71.513368988514,Suitable for heat generation
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"UNIVERSITY-WHITE ""6B"" 1",4246110173,UPTON,Plugged & Abandoned,BLACK OIL,31.29328346252441,-101.7880249023438,7485.0,2.281,22.29025352995086,70.84406830181791,Suitable for heat generation
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"University ""7"" 1",4246130017,UPTON,Plugged & Abandoned,Unknown,31.28594398498535,-101.7859725952148,7540.0,2.298,22.28770659928703,71.2171497651616,Suitable for heat generation
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"UNIVERSITY ""3-19"" 7",4246135970,UPTON,Plugged & Abandoned,VOLATILE OIL,31.28775024414062,-101.7843246459961,10096.0,3.077,22.28542102046775,88.57224047997927,Suitable for heat generation
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"UNIVERSITY ""3-19"" 28",4246135291,UPTON,Plugged & Abandoned,CONDENSATE,31.29500389099121,-101.7837829589844,10092.0,3.076,22.28446645157235,88.54701880503654,Suitable for heat generation
27,8,31.29163694381714,-101.78434753417969,0.7964198218465126,22.285336389922108,76.6297123793258,"UNIVERSITY-WHITE ""6B"" 2",4246132334,UPTON,Plugged & Abandoned,VOLATILE OIL,31.2913932800293,-101.7836685180664,8205.0,2.501,22.28442240323055,75.73334043047961,Suitable for heat generation
