Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km)
TRIOLO 1H,4239531921,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.836803436279297,-96.47450256347656,7263.080078125,2.214
SCAMARDO GAS UNIT 1,4239530705,ROBERTSON,Plugged & Abandoned,Unknown,30.837892532348636,-96.5934066772461,16482.7890625,5.024
"MISCHER ""D"" 3",4239530890,ROBERTSON,Plugged & Abandoned,Unknown,31.19127655029297,-96.3963623046875,13676.900390625,4.169
FAZZINO-GLOCKZIN 1H,4239530514,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.93634414672852,-96.39495086669922,7626.02978515625,2.324
GEORGE-SAVELL 1,4239530471,ROBERTSON,Plugged & Abandoned,Unknown,31.004453659057617,-96.49179077148438,13649.490234375,4.16
"WILKINSON, B. J./T-BAR-X 1",4239530566,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.980138778686523,-96.44135284423828,6940.18994140625,2.115
SPRING VALLEY RANCH J 10H,4239530472,ROBERTSON,Plugged & Abandoned,Dry Hole,31.1890869140625,-96.3467254638672,6927.0,2.111
"DOERING, FRED J. 1H",4239530524,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.96051406860352,-96.38787841796876,7374.06982421875,2.248
F.N.B. UNIT 46,4239530497,ROBERTSON,Plugged & Abandoned,Dry Hole,31.00161361694336,-96.33654022216795,7690.39013671875,2.344
GLOCKZIN-CLOAT 1H,4239530501,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.93657875061035,-96.37348175048828,7610.47021484375,2.32
NEYLAND UNIT 1,4239530632,ROBERTSON,Plugged & Abandoned,DRY GAS,31.29536247253418,-96.38640594482422,13354.66015625,4.071
ATHENA 1801H,4216934142,GARZA,Plugged & Abandoned,Dry Hole,33.04151153564453,-101.42096710205078,8342.6904296875,2.543
BIG RED ONE 102R,4216930079,GARZA,Plugged & Abandoned,BLACK OIL,33.283695220947266,-101.08139038085938,7806.0,2.379
"PARKS ""683"" 5U",4216930250,GARZA,Orphaned - Shut In,WATER DISPOSAL,32.96591567993164,-101.25021362304688,8530.0,2.6
GUILLIAMS 8A 1,4216934077,GARZA,Plugged & Abandoned,Dry Hole,32.963565826416016,-101.3770751953125,8331.650390625,2.539
GARZA 27 1PU,4216934029,GARZA,Plugged & Abandoned,WATER DISPOSAL,32.96508026123047,-101.37661743164062,8330.0,2.539
"KIRKPATRICK ""B"" 1",4216931116,GARZA,Plugged & Abandoned,Dry Hole,33.06835174560547,-101.31759643554688,8370.1904296875,2.551
KEY 1,4216934006,GARZA,Plugged & Abandoned,BLACK OIL,33.12533187866211,-101.04753112792967,7200.0,2.195
"ANDERSON, R. S. 2",4216932195,GARZA,Plugged & Abandoned,Unknown,33.00477981567383,-101.22054290771484,8152.58984375,2.485
STATE TRACT 9 1A,4205730919,CALHOUN,Plugged & Abandoned,Unknown,28.60832023620605,-96.58482360839844,7258.990234375,2.213
MELCHER 3,4205731778,CALHOUN,Plugged & Abandoned,Dry Hole,28.45167732238769,-96.6692352294922,8662.5400390625,2.64
STATE TRACT 82 1,4205731081,CALHOUN,Plugged & Abandoned,Dry Hole,28.593093872070312,-96.44789123535156,8737.099609375,2.663
STATE TRACT 78 GU 1,4205731619,CALHOUN,Plugged & Abandoned,DRY GAS,28.65098762512207,-96.4594497680664,13509.099609375,4.118
STATE TRACT 254 1,4205731698,CALHOUN,Orphaned - Shut In,CONDENSATE,28.665769577026367,-96.3802261352539,14363.2998046875,4.378
"TRAYLOR, MAUDE B. 28L",4205731527,CALHOUN,Plugged & Abandoned,CONDENSATE,28.637805938720703,-96.47004699707033,13613.900390625,4.15
"BELL, BETTIE 1",4239530895,ROBERTSON,Plugged & Abandoned,DRY GAS,31.1796875,-96.3354034423828,16532.5390625,5.039
SCRUGGS 1,4239531786,ROBERTSON,Plugged & Abandoned,DRY GAS,31.22284507751465,-96.58112335205078,12100.0,3.688
ARMSTRONG UNIT 1H,4239530507,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.945613861083984,-96.41136169433594,7453.89990234375,2.272
"BENBOW ""A"" UNIT 1",4239530388,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.837078094482425,-96.4173355102539,7776.419921875,2.37
POWER-TRUST / T BAR-X 1,4239530570,ROBERTSON,Orphaned - Shut In,BLACK OIL,30.938220977783203,-96.44845581054688,7341.14990234375,2.238
ARMSTRONG UNIT #2H 2H,4239530516,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.936277389526367,-96.42386627197266,7490.64990234375,2.283
GLOCKZIN-CLOAT 2H,4239530561,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.935104370117188,-96.37523651123048,7624.669921875,2.324
"DUNN ""A"" UNIT 1",4239530384,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.81124687194824,-96.4228515625,7782.39990234375,2.372
EYLAU 1,4239530462,ROBERTSON,Plugged & Abandoned,Unknown,31.089599609375,-96.4558563232422,14623.900390625,4.457
SKEAGH-WALKER UNIT 1,4239530459,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.78544807434082,-96.44776153564452,7799.0498046875,2.377
HOPPESS 1H,4239530263,ROBERTSON,Orphaned - Shut In,BLACK OIL,31.0676383972168,-96.27584075927734,7068.43017578125,2.154
CAMP COOLEY 3,4239530504,ROBERTSON,Plugged & Abandoned,Unknown,31.19449806213379,-96.35785675048828,15357.080078125,4.681
EMIL 1,4239531309,ROBERTSON,Plugged & Abandoned,DRY GAS,31.237598419189453,-96.3536376953125,15282.919921875,4.658
BASS BROS. 1H,4239530393,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.84014320373535,-96.4121322631836,7690.18994140625,2.344
CLOAT 1,4239531201,ROBERTSON,Plugged & Abandoned,Unknown,30.94602394104004,-96.3860321044922,16400.599609375,4.999
MACLEAN 1,4239530611,ROBERTSON,Plugged & Abandoned,Dry Hole,30.979782104492188,-96.2634735107422,8015.330078125,2.443
"SPRING VALLEY RANCH ""L"" 12",4239530974,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.800561904907227,-96.4727020263672,7039.85009765625,2.146
AKINS UNIT 1,4239530506,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.97349739074707,-96.38609313964844,7510.77978515625,2.289
REGAL UNIT 1H,4239530468,ROBERTSON,Plugged & Abandoned,BLACK OIL,30.79266929626465,-96.5210952758789,7300.89013671875,2.225
